,rand_smi,cano_smi,CT_TOX
1101,N12C(C(C(CC)(C)C)N3C(OC(NC(C4CC5c6c7c(c[nH]c7ccc6)CC5[NH+](C4)C)=O)(C(C)C)C3=O)(C2CCC1)O)=O,CCC(C)(C)C1C(=O)N2CCCC2C2(O)OC(NC(=O)C3CC4c5cccc6[nH]cc(c56)CC4[NH+](C)C3)(C(C)C)C(=O)N12,0
1102,C(C)C(C(COC(N)=O)(COC(N)=O)C)C,CCC(C)C(C)(COC(N)=O)COC(N)=O,0
1103,c1cc(C(C(=C)CC)=O)c(Cl)c(Cl)c1OCC([O-])=O,C=C(CC)C(=O)c1ccc(OCC(=O)[O-])c(Cl)c1Cl,0
1104,C1(=O)C(CC)(C(C)CC)C(=O)NC(=O)N1,CCC(C)C1(CC)C(=O)NC(=O)NC1=O,0
1105,C(C)(CC)C1(CC=C)C(NC(NC1=O)=O)=O,C=CCC1(C(C)CC)C(=O)NC(=O)NC1=O,0
1106,O=C1NC(C(=O)NCCCCC(NC(=O)C(NC(=O)C(NC(=O)C(CC(C)C)NC(=O)C2N=C(SC2)C([NH3+])C(C)CC)CCC([O-])=O)C(C)CC)C(=O)NC(C(NC(C(C)CC)C(=O)NC(Cc2ccccc2)C(NC(CC2C=NC=[NH+]2)C(=O)NC1CC(=O)[O-])=O)=O)CCC[NH3+])CC(=O)N,CCC(C)C([NH3+])C1=NC(C(=O)NC(CC(C)C)C(=O)NC(CCC(=O)[O-])C(=O)NC(C(=O)NC2CCCCNC(=O)C(CC(N)=O)NC(=O)C(CC(=O)[O-])NC(=O)C(CC3C=NC=[NH+]3)NC(=O)C(Cc3ccccc3)NC(=O)C(C(C)CC)NC(=O)C(CCC[NH3+])NC2=O)C(C)CC)CS1,0
1107,C(C1C(=O)NC(C(O)C)C(=O)NC(CC(=O)N)C(=O)NC(C(=O)N2CCCC2C(NC(CC(C)C)C(=O)NCC(N)=O)=O)CSSCC([NH3+])C(NC(Cc2ccc(O)cc2)C(N1)=O)=O)(C)CC,CCC(C)C1NC(=O)C(Cc2ccc(O)cc2)NC(=O)C([NH3+])CSSCC(C(=O)N2CCCC2C(=O)NC(CC(C)C)C(=O)NCC(N)=O)NC(=O)C(CC(N)=O)NC(=O)C(C(C)O)NC1=O,0
1108,N1C([C@H](CC[NH3+])NC([C@H](CC(C)C)NC(=O)[C@H](NC([C@H](CC[NH3+])NC(=O)[C@@H](NC([C@H](CC[NH3+])NC(=O)[C@H]([C@@H](C)O)NC([C@H](CC[NH3+])NC(=O)CCCC(C)CC)=O)=O)CCNC(=O)[C@H]([C@H](O)C)NC(=O)[C@@H]1CC[NH3+])=O)CC(C)C)=O)=O,CCC(C)CCCC(=O)N[C@@H](CC[NH3+])C(=O)N[C@H](C(=O)N[C@@H](CC[NH3+])C(=O)N[C@H]1CCNC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](CC[NH3+])NC(=O)[C@H](CC[NH3+])NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC(=O)[C@H](CC[NH3+])NC1=O)[C@@H](C)O,0
1109,C(=O)(NC1C(NC(CC[NH3+])C(=O)NC(Cc2ccccc2)C(=O)NC(C(NC(C(NC(C(=O)NC(C(NCC1)=O)C(C)O)CC[NH3+])=O)CC[NH3+])=O)CC(C)C)=O)C(CC[NH3+])NC(C(NC(=O)C(NC(=O)CCCCC(CC)C)CC[NH3+])C(C)O)=O,CCC(C)CCCCC(=O)NC(CC[NH3+])C(=O)NC(C(=O)NC(CC[NH3+])C(=O)NC1CCNC(=O)C(C(C)O)NC(=O)C(CC[NH3+])NC(=O)C(CC[NH3+])NC(=O)C(CC(C)C)NC(=O)C(Cc2ccccc2)NC(=O)C(CC[NH3+])NC1=O)C(C)O,0
1110,[C@@]1(O[C@H](CO1)COc1ccc(N2CCN(CC2)c2ccc(cc2)-n2cnn(C(CC)C)c2=O)cc1)(c1ccc(cc1Cl)Cl)Cn1ncnc1,CCC(C)n1ncn(-c2ccc(N3CCN(c4ccc(OC[C@H]5CO[C@](Cn6cncn6)(c6ccc(Cl)cc6Cl)O5)cc4)CC3)cc2)c1=O,0
1111,c1cc2c(c([O-])c(C(c3ccccc3)CC)c(o2)=O)cc1,CCC(c1ccccc1)c1c([O-])c2ccccc2oc1=O,0
1112,C(OCC)(=O)C1=C[C@H]([C@H](NC(C)=O)[C@@H]([NH3+])C1)OC(CC)CC,CCOC(=O)C1=C[C@@H](OC(CC)CC)[C@H](NC(C)=O)[C@@H]([NH3+])C1,0
1113,c1(c(cc(I)c(c1I)N)I)CC(C([O-])=O)CC,CCC(Cc1c(I)cc(I)c(N)c1I)C(=O)[O-],0
1114,C(C([NH3+])CCC([O-])=O)=C,C=CC([NH3+])CCC(=O)[O-],0
1115,[C@]12(C)C(C3C([C@H](C2)O)[C@]2(C)C(CC3)=CC(=O)C=C2)C[C@H]([C@@]1(C(=O)CC)C)C,CCC(=O)[C@@]1(C)[C@H](C)CC2C3CCC4=CC(=O)C=C[C@]4(C)C3[C@@H](O)C[C@@]21C,0
1116,[NH+](C)(C)C(CC(c1ccccc1)(c1ccccc1)C(CC)=O)C,CCC(=O)C(CC(C)[NH+](C)C)(c1ccccc1)c1ccccc1,0
1117,C(N1c2ccccc2Sc2ccc(cc21)C(=O)CC)C([NH+](C)C)C,CCC(=O)c1ccc2c(c1)N(CC(C)[NH+](C)C)c1ccccc1S2,0
1118,COC(=O)CC[NH+]1CCC(C(OC)=O)(CC1)N(C(CC)=O)c1ccccc1,CCC(=O)N(c1ccccc1)C1(C(=O)OC)CC[NH+](CCC(=O)OC)CC1,0
1119,C1[NH+](CCc2cccs2)CCC(C1)(COC)N(c1ccccc1)C(=O)CC,CCC(=O)N(c1ccccc1)C1(COC)CC[NH+](CCc2cccs2)CC1,0
1120,n1nn(CC)c(=O)n1CC[NH+]1CCC(CC1)(COC)N(C(=O)CC)c1ccccc1,CCC(=O)N(c1ccccc1)C1(COC)CC[NH+](CCn2nnn(CC)c2=O)CC1,0
1121,CCC(N(C1CC[NH+](CCc2ccccc2)CC1)c1ccccc1)=O,CCC(=O)N(c1ccccc1)C1CC[NH+](CCc2ccccc2)CC1,0
1122,O1c2c(c3[C@H](CCNC(CC)=O)CCc3cc2)CC1,CCC(=O)NCC[C@@H]1CCc2ccc3c(c21)CCO3,0
1123,c1cccc(c1)[C@]([C@@H](C)C[NH+](C)C)(Cc1ccccc1)OC(CC)=O,CCC(=O)O[C@@](Cc1ccccc1)(c1ccccc1)[C@@H](C)C[NH+](C)C,0
1124,[C@H]12C[C@@H](C)[C@](C(SCF)=O)([C@]2(C[C@@H]([C@@]2([C@@]3(C([C@H](C[C@@H]12)F)=CC(C=C3)=O)C)F)O)C)OC(=O)CC,CCC(=O)O[C@]1(C(=O)SCF)[C@H](C)C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,0
1125,CCC(O[C@@]1(C(CCl)=O)[C@@]2(C)C[C@@H]([C@@]3([C@@]4(C)C=CC(C=C4CC[C@H]3[C@@H]2C[C@@H]1C)=O)F)O)=O,CCC(=O)O[C@]1(C(=O)CCl)[C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,0
1126,C1C2(C)[C@]([C@@H](C)CC2C2[C@](F)(C1O)C1(C=CC(C=C1[C@H](C2)F)=O)C)(C(=O)CCl)OC(=O)CC,CCC(=O)O[C@]1(C(=O)CCl)[C@@H](C)CC2C3C[C@H](F)C4=CC(=O)C=CC4(C)[C@@]3(F)C(O)CC21C,0
1127,c1cc(ccc1)C[C@]([C@@H](C[NH+](C)C)C)(c1ccccc1)OC(CC)=O,CCC(=O)O[C@](Cc1ccccc1)(c1ccccc1)[C@H](C)C[NH+](C)C,0
1128,[C@H]12[C@]([C@H]3CC[C@@]4([C@H]([C@@H]([N+]5(CC=C)CCCCC5)C[C@H]4[C@@H]3CC1)OC(CC)=O)C)(C)C[C@@H]([C@@H](OC(C)=O)C2)[NH+]1CCCCC1,C=CC[N+]1([C@H]2C[C@H]3[C@@H]4CC[C@H]5C[C@H](OC(C)=O)[C@@H]([NH+]6CCCCC6)C[C@]5(C)[C@H]4CC[C@]3(C)[C@H]2OC(=O)CC)CCCCC1,0
1129,C[C@]12C[C@H](C(=O)C[C@@H]1CC[C@@H]1[C@@H]2CC[C@]2([C@H]1CC[C@@H]2OC(=O)CC)C)C,CCC(=O)O[C@H]1CC[C@H]2[C@@H]3CC[C@H]4CC(=O)[C@H](C)C[C@]4(C)[C@H]3CC[C@]12C,0
1130,C12=CC(CC[C@]1(C)[C@@H]1[C@H]([C@@H]3CC[C@H](OC(=O)CC)[C@]3(CC1)C)CC2)=O,CCC(=O)O[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,0
1131,C(C)C(=O)OC(OP(=O)(CC(=O)N1C[C@H](C2CCCCC2)C[C@H]1C(=O)[O-])CCCCc1ccccc1)C(C)C,CCC(=O)OC(OP(=O)(CCCCc1ccccc1)CC(=O)N1C[C@H](C2CCCCC2)C[C@H]1C(=O)[O-])C(C)C,0
1132,C12[C@@](C=CC(=O)C=1)(C)[C@@H]1[C@@H]([C@@H](C2)Cl)[C@@H]2C[C@H]([C@]([C@]2(C[C@@H]1O)C)(OC(=O)CC)C(COC(=O)CC)=O)C,CCC(=O)OCC(=O)[C@@]1(OC(=O)CC)[C@H](C)C[C@H]2[C@H]3[C@H]([C@@H](O)C[C@@]21C)[C@@]1(C)C=CC(=O)C=C1C[C@H]3Cl,0
1133,C[C@]12[C@](C(COC(=O)CC)=O)(OC(CC)=O)[C@@H](C)C[C@H]2[C@@H]2CCC3[C@@]([C@@]2(Cl)[C@H](C1)O)(C=CC(=O)C=3)C,CCC(=O)OCC(=O)[C@@]1(OC(=O)CC)[C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(Cl)[C@@H](O)C[C@@]21C,0
1134,C1C(=O)C=C2[C@@]([C@H]3[C@H](C[C@]4([C@H]([C@@H]3CC2)CC[C@]4(OC(=O)OCC)C(COC(CC)=O)=O)C)O)(C=1)C,CCOC(=O)O[C@]1(C(=O)COC(=O)CC)CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,0
1135,C(C(=O)OCCNC(=O)C[n+]1ccccc1)C,CCC(=O)OCCNC(=O)C[n+]1ccccc1,0
1136,C1(C(=O)C(CC)(C(NC1)=O)CC)C,CCC1(CC)C(=O)NCC(C)C1=O,0
1137,c1(C2(NC(=O)N(C2=O)C)CC)ccccc1,CCC1(c2ccccc2)NC(=O)N(C)C1=O,0
1138,N1(C(=O)OC(C)(C1=O)CC)C,CCC1(C)OC(=O)N(C)C1=O,0
1139,c1cc(C2(SCC(=O)NC2=O)CC)ccc1,CCC1(c2ccccc2)SCC(=O)NC1=O,0
1140,C(C1(CC)C(=O)N(C(=O)NC1=O)C)C,CCC1(CC)C(=O)NC(=O)N(C)C1=O,0
1141,C1(CC)(C(NCNC1=O)=O)c1ccccc1,CCC1(c2ccccc2)C(=O)NCNC1=O,0
1142,O=C1C(C)(CC(N1)=O)CC,CCC1(C)CC(=O)NC1=O,0
1143,CCC1(c2ccc(N)cc2)C(NC(=O)CC1)=O,CCC1(c2ccc(N)cc2)CCC(=O)NC1=O,0
1144,c1ccccc1C1(CCC(NC1=O)=O)CC,CCC1(c2ccccc2)CCC(=O)NC1=O,0
1145,C1[NH+](CC2CCc3[nH]c(C)c(CC)c3C2=O)CCOC1,CCc1c(C)[nH]c2c1C(=O)C(C[NH+]1CCOCC1)CC2,0
1146,C/C1=C\C(=C\C[C@@H]([C@H](O)C)OC(/C(=C/C=C/C[C@@H](/C(C)=C/[C@H](CC)[C@H]1O[C@H]1[C@@H](O)[C@H]([C@@H](C(C)(C)O1)OC(=O)C(C)C)O)O)CO[C@@H]1O[C@H](C)[C@@H](OC(=O)c2c(c(Cl)c([O-])c(Cl)c2CC)O)[C@@H]([C@@H]1OC)O)=O)C,CCc1c(Cl)c([O-])c(Cl)c(O)c1C(=O)O[C@H]1[C@H](O)[C@H](OC)[C@H](OC/C2=C\C=C\C[C@H](O)/C(C)=C/[C@H](CC)[C@@H](O[C@@H]3OC(C)(C)[C@@H](OC(=O)C(C)C)[C@H](O)[C@@H]3O)/C(C)=C/C(C)=C/C[C@@H]([C@@H](C)O)OC2=O)O[C@@H]1C,0
1147,c1(-c2c(N)nc(nc2CC)N)ccc(Cl)cc1,CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1,0
1148,c1c(ccc(S([N-]C(NC2CCC(C)CC2)=O)(=O)=O)c1)CCNC(=O)N1CC(C)=C(C1=O)CC,CCC1=C(C)CN(C(=O)NCCc2ccc(S(=O)(=O)[N-]C(=O)NC3CCC(C)CC3)cc2)C1=O,0
1149,C=CC1=C(N2C([C@H]([C@H]2SC1)NC(/C(c1csc(N)n1)=N\O)=O)=O)C([O-])=O,C=CC1=C(C(=O)[O-])N2C(=O)[C@@H](NC(=O)/C(=N\O)c3csc(N)n3)[C@H]2SC1,0
1150,n1c(scc1/C(C(N[C@H]1[C@@H]2N(C1=O)C(=C(C=C)CS2)C(=O)[O-])=O)=N/OCC([O-])=O)N,C=CC1=C(C(=O)[O-])N2C(=O)[C@@H](NC(=O)/C(=N\OCC(=O)[O-])c3csc(N)n3)[C@H]2SC1,0
1151,C1OC(=O)[C@@](O)(c2cc3n(c(=O)c12)Cc1c(CC)c2cc(OC(=O)N4CCC([NH+]5CCCCC5)CC4)ccc2nc-31)CC,CCc1c2c(nc3ccc(OC(=O)N4CCC([NH+]5CCCCC5)CC4)cc13)-c1cc3c(c(=O)n1C2)COC(=O)[C@]3(O)CC,0
1152,C1CCCCN1C1CCN(CC1)C(Oc1cc2c(c3Cn4c(c5COC(=O)[C@@](CC)(O)c5cc4-c3nc2cc1)=O)CC)=O,CCc1c2c(nc3ccc(OC(=O)N4CCC(N5CCCCC5)CC4)cc13)-c1cc3c(c(=O)n1C2)COC(=O)[C@]3(O)CC,1
1153,C1(CN2Cc3c([nH]c4ccccc34)[C@@](c3c(OC)cc4N([C@H]5[C@]([C@H](OC(C)=O)[C@@]6(CC)[C@H]7[C@@]5(CCN7CC=C6)c4c3)(C(OC)=O)O)C)(C[C@H](C=1)C2)C(=O)OC)CC,CCC1=C[C@@H]2CN(C1)Cc1c([nH]c3ccccc13)[C@@](C(=O)OC)(c1cc3c(cc1OC)N(C)[C@H]1[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]4(CC)C=CCN5CC[C@]31[C@@H]54)C2,1
1154,c1c(ccnc1CC)C(N)=S,CCc1cc(C(N)=S)ccn1,0
1155,c1c2c([C@@H](O)C[NH2+]C3Cc4c(cc(CC)c(c4)CC)C3)ccc(O)c2[nH]c(c1)=O,CCc1cc2c(cc1CC)CC([NH2+]C[C@H](O)c1ccc(O)c3[nH]c(=O)ccc13)C2,0
1156,C1[NH+]2Cc3c4ccccc4[nH]c3[C@@](c3c(OC)cc4c(c3)[C@@]35[C@@H]6[C@]([C@H]([C@](C(=O)OC)([C@@H]5N4C)O)OC(=O)C)(C=CC[NH+]6CC3)CC)(CC(C=C1CC)C2)C(OC)=O,CCC1=CC2C[NH+](C1)Cc1c([nH]c3ccccc13)[C@@](C(=O)OC)(c1cc3c(cc1OC)N(C)[C@H]1[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]4(CC)C=CC[NH+]5CC[C@]31[C@@H]54)C2,0
1157,c1c(CC)ccc(n1)CCOc1ccc(CC2C(=O)[N-]C(S2)=O)cc1,CCc1ccc(CCOc2ccc(CC3SC(=O)[N-]C3=O)cc2)nc1,0
1158,c1cc2c([nH]c3C(OCCc32)(CC)CC(=O)[O-])c(c1)CC,CCc1cccc2c3c([nH]c12)C(CC)(CC(=O)[O-])OCC3,0
1159,C(c1ccc(OCCc2ncc(cc2)CC)cc1)C1SC(NC1=O)=O,CCc1ccc(CCOc2ccc(CC3SC(=O)NC3=O)cc2)nc1,1
1160,c1(Cl)c(cc2C(=O)NC(CC)Nc2c1)S(N)(=O)=O,CCC1NC(=O)c2cc(S(N)(=O)=O)c(Cl)cc2N1,0
1161,c1c(cc(cc1)N1CC[NH+](CCCn2nc(CC)n(c2=O)CCOc2ccccc2)CC1)Cl,CCc1nn(CCC[NH+]2CCN(c3cccc(Cl)c3)CC2)c(=O)n1CCOc1ccccc1,0
1162,C(N[C@H](C(C(NC1CC1)=O)=O)CCC)([C@H]1N(C(=O)[C@@H](NC(=O)[C@H](C2CCCCC2)NC(=O)c2cnccn2)C(C)(C)C)C[C@H]2[C@@H]1CCC2)=O,CCC[C@H](NC(=O)[C@@H]1[C@H]2CCC[C@H]2CN1C(=O)[C@@H](NC(=O)[C@@H](NC(=O)c1cnccn1)C1CCCCC1)C(C)(C)C)C(=O)C(=O)NC1CC1,0
1163,[O-]C(=O)[C@H]1N([C@H]2CCCC[C@H]2C1)C(=O)[C@@H]([NH2+][C@H](C(OCC)=O)CCC)C,CCC[C@H]([NH2+][C@@H](C)C(=O)N1[C@H](C(=O)[O-])C[C@@H]2CCCC[C@@H]21)C(=O)OCC,0
1164,O[C@@H]1[C@@H](O)[C@H]([C@@H]([C@@H]([C@@H](C)O)NC([C@@H]2C[C@H](C[NH+]2C)CCC)=O)O[C@@H]1SC)O,CCC[C@@H]1C[C@@H](C(=O)N[C@@H]([C@H]2O[C@H](SC)[C@H](O)[C@@H](O)[C@H]2O)[C@@H](C)O)[NH+](C)C1,0
1165,C(NC(C(Cl)C)[C@@H]1[C@H](O)[C@H](O)[C@@H](O)[C@@H](SC)O1)([C@@H]1C[C@@H](CCC)C[NH+]1C)=O,CCC[C@@H]1C[C@@H](C(=O)NC(C(C)Cl)[C@H]2O[C@H](SC)[C@H](O)[C@@H](O)[C@H]2O)[NH+](C)C1,0
1166,C1([O-])C[C@@](CCc2ccccc2)(OC(C=1[C@@H](c1cccc([N-]S(=O)(c2ncc(C(F)(F)F)cc2)=O)c1)CC)=O)CCC,CCC[C@@]1(CCc2ccccc2)CC([O-])=C([C@H](CC)c2cccc([N-]S(=O)(=O)c3ccc(C(F)(F)F)cn3)c2)C(=O)O1,0
1167,C(C[NH+](C(C(=O)Nc1c(C)cccc1C)CC)CC)C,CCC[NH+](CC)C(CC)C(=O)Nc1c(C)cccc1C,0
1168,c1cc(c2c(c1)NC(=O)C2)CC[NH+](CCC)CCC,CCC[NH+](CCC)CCc1cccc2c1CC(=O)N2,0
1169,c1ccc(O)c2CC[C@@H](Cc21)[NH+](CCc1cccs1)CCC,CCC[NH+](CCc1cccs1)[C@H]1CCc2c(O)cccc2C1,0
1170,C1[C@H]2[C@@H](Cc3c4c2cccc4[nH]c3)[NH+](C[C@@H]1CSC)CCC,CCC[NH+]1C[C@H](CSC)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21,0
1171,[C@@]123CC[NH+](CC=C)[C@@H]4Cc5c3c(c(cc5)O)O[C@H]1C(CC[C@@]42O)=O,C=CC[NH+]1CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@@]3(O)[C@H]1C5,0
1172,[C@@H]12Cc3ccc(cc3[C@]3(CC[NH+]2CC=C)[C@H]1CCCC3)O,C=CC[NH+]1CC[C@]23CCCC[C@H]2[C@H]1Cc1ccc(O)cc13,0
1173,C([NH+]1CCCC[C@H]1C(Nc1c(cccc1C)C)=O)CC,CCC[NH+]1CCCC[C@H]1C(=O)Nc1c(C)cccc1C,0
1174,[C@@H]1(CCc2nc(sc2C1)N)[NH2+]CCC,CCC[NH2+][C@H]1CCc2nc(N)sc2C1,0
1175,s1c(C(OC)=O)c(NC(C(C)[NH2+]CCC)=O)c(c1)C,CCC[NH2+]C(C)C(=O)Nc1c(C)csc1C(=O)OC,0
1176,c1cccc(c1NC(C([NH2+]CCC)C)=O)C,CCC[NH2+]C(C)C(=O)Nc1ccccc1C,0
1177,c1cc(c(cc1)OCC(O)C[NH2+]CCC)C(CCc1ccccc1)=O,CCC[NH2+]CC(O)COc1ccccc1C(=O)CCc1ccccc1,0
1178,CCCC(C)(COC(=O)N)COC(=O)N,CCCC(C)(COC(N)=O)COC(N)=O,0
1179,CC(C)NC(=O)OCC(COC(=O)N)(CCC)C,CCCC(C)(COC(N)=O)COC(=O)NC(C)C,0
1180,N1C(C(CC=C)(C(=O)[NH+]=C1S)C(C)CCC)=O,C=CCC1(C(C)CCC)C(=O)NC(S)=[NH+]C1=O,0
1181,CC(C1(CC)C(NC(=O)NC1=O)=O)CCC,CCCC(C)C1(CC)C(=O)NC(=O)NC1=O,0
1182,C(C(C)C1(CC=C)C(NC(NC1=O)=O)=O)CC,C=CCC1(C(C)CCC)C(=O)NC(=O)NC1=O,0
1183,C1(=O)C(CC)(C(=O)NC(=S)N1)C(C)CCC,CCCC(C)C1(CC)C(=O)NC(=S)NC1=O,0
1184,O=C(C(CCC)CCC)[O-],CCCC(CCC)C(=O)[O-],0
1185,C(=O)(O[C@H]1C[C@H]2CC[C@H]([N+]2(C)C)C1)C(CCC)CCC,CCCC(CCC)C(=O)O[C@H]1C[C@H]2CC[C@@H](C1)[N+]2(C)C,0
1186,CCC(Cc1c(cc(c(c1I)NC(CCC)=O)I)I)C([O-])=O,CCCC(=O)Nc1c(I)cc(I)c(CC(CC)C(=O)[O-])c1I,0
1187,c1(cc(c(cc1)OCC(C[NH2+]C(C)C)O)C(C)=O)NC(=O)CCC,CCCC(=O)Nc1ccc(OCC(O)C[NH2+]C(C)C)c(C(C)=O)c1,0
1188,[C@]12(C)[C@H]([C@H]3[C@@](F)([C@@]4(C(=CC(C=C4)=O)[C@H](C3)F)C)[C@@H](O)C2)CC[C@@]1(C(COC(=O)C)=O)OC(=O)CCC,CCCC(=O)O[C@]1(C(=O)COC(C)=O)CC[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,0
1189,C1[C@]2([C@H]([C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@H]1O)CC[C@@]2(C(=O)CO)OC(=O)CCC)C,CCCC(=O)O[C@]1(C(=O)CO)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,0
1190,C1C[C@@H]2[C@@H]([C@]3(C)C1=CC(CC3)=O)[C@H](C[C@@]1(C)[C@H]2CC[C@@]1(C(COC(=O)CC)=O)OC(=O)CCC)O,CCCC(=O)O[C@]1(C(=O)COC(=O)CC)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,0
1191,C1(C(C(OCOC(CCC)=O)=O)=C(C)NC(=C1C(OC)=O)C)c1cccc(Cl)c1Cl,CCCC(=O)OCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc(Cl)c1Cl,0
1192,S(N1CC[NH+](C)CC1)(=O)(=O)c1ccc(c(c1)-c1[nH]c(=O)c2n(nc(CCC)c2n1)C)OCC,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CC[NH+](C)CC4)ccc3OCC)nc12,0
1193,c12oc(cc(=O)c2cc2c(cc(n(c2c1CCC)CC)C([O-])=O)=O)C([O-])=O,CCCc1c2oc(C(=O)[O-])cc(=O)c2cc2c(=O)cc(C(=O)[O-])n(CC)c12,0
1194,[nH]1c(CCC)cc([nH]c1=S)=O,CCCc1cc(=O)[nH]c(=S)[nH]1,0
1195,n1n[n-]nc1-c1c(-c2ccc(cc2)Cn2c(nc(C(C)(O)C)c2C(OCc2oc(=O)oc2C)=O)CCC)cccc1,CCCc1nc(C(C)(C)O)c(C(=O)OCc2oc(=O)oc2C)n1Cc1ccc(-c2ccccc2-c2nn[n-]n2)cc1,0
1196,O=c1nc([nH]n2c(CCC)nc(C)c12)-c1c(ccc(c1)S(N1CC[NH+](CC1)CC)(=O)=O)OCC,CCCc1nc(C)c2c(=O)nc(-c3cc(S(=O)(=O)N4CC[NH+](CC)CC4)ccc3OCC)[nH]n12,0
1197,O=C([O-])c1c(-c2ccc(cc2)Cn2c(nc3c2cc(cc3C)-c2nc3ccccc3n2C)CCC)cccc1,CCCc1nc2c(C)cc(-c3nc4ccccc4n3C)cc2n1Cc1ccc(-c2ccccc2C(=O)[O-])cc1,0
1198,C1[C@@H]2[C@@](C(CO)=O)(OC(O2)CCC)[C@]2(C[C@@H]([C@H]3[C@H]([C@@H]21)CCC1=CC(=O)C=C[C@@]13C)O)C,CCCC1O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,0
1199,c1(ccc(cc1)/C=C1\c2c(c(C(C[NH+](CCCC)CCCC)O)cc(c2)Cl)-c2c1cc(cc2)Cl)Cl,CCCC[NH+](CCCC)CC(O)c1cc(Cl)cc2c1-c1ccc(Cl)cc1/C2=C/c1ccc(Cl)cc1,0
1200,Clc1cc2c3c(c(cc2c(c1)Cl)C(CC[NH+](CCCC)CCCC)O)ccc(c3)C(F)(F)F,CCCC[NH+](CCCC)CCC(O)c1cc2c(Cl)cc(Cl)cc2c2cc(C(F)(F)F)ccc12,0
1201,C([NH+]1C[C@H](O)[C@H]([C@H](O)[C@H]1CO)O)CCC,CCCC[NH+]1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,0
1202,C1C[C@H]([NH+](CCCC)CC1)C(Nc1c(C)cccc1C)=O,CCCC[NH+]1CCCC[C@H]1C(=O)Nc1c(C)cccc1C,0
1203,C1[NH+](CCCC)C(CCC1)C(=O)Nc1c(C)cccc1C,CCCC[NH+]1CCCCC1C(=O)Nc1c(C)cccc1C,0
1204,C(CC[C@H]1[C@H]2CC[C@@](O)(O[C@@H]2CC1=O)C(F)(F)CCCC)CCCC(=O)[O-],CCCCC(F)(F)[C@@]1(O)CC[C@@H]2[C@H](CCCCCCC(=O)[O-])C(=O)C[C@H]2O1,0
1205,C(/C=C/[C@H]1[C@@H](CC([C@@H]1CCCCCCC(=O)OC)=O)O)C(O)(C)CCCC,CCCCC(C)(O)C/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(=O)OC,0
1206,CCC(CCCC)COC(/C=C/c1ccc(cc1)OC)=O,CCCCC(CC)COC(=O)/C=C/c1ccc(OC)cc1,0
1207,c1cccc(c1)C(=C(C#N)C(=O)OCC(CCCC)CC)c1ccccc1,CCCCC(CC)COC(=O)C(C#N)=C(c1ccccc1)c1ccccc1,0
1208,c1c(c(-c2ccc(cc2)CN([C@H](C([O-])=O)C(C)C)C(=O)CCCC)ccc1)-c1nnn[n-]1,CCCCC(=O)N(Cc1ccc(-c2ccccc2-c2nnn[n-]2)cc1)[C@H](C(=O)[O-])C(C)C,0
1209,C(CCC)C(O[C@]1(C(=O)CO)[C@H](C[C@H]2[C@@H]3CCC4[C@](C=CC(=O)C=4)([C@]3([C@@H](O)C[C@@]21C)F)C)C)=O,CCCCC(=O)O[C@]1(C(=O)CO)[C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,0
